Least-squares	SpotMedian Ch1=635nm		SpotMedian Ch2= nm		
y=ax+b	Gain1-Gain2	Gain1-Gain3	Gain1-Gain2	Gain1-Gain3
a	0.516	0.282	-	-
b	-1.331	-0.817	-	-
r2	0.999910	0.999453	-	-

						SpotMedian		BG_Median		Gain1		Gain2		Gain3
Cell	Block	Column	Row	G_Name	G_ID	635nm	 nm	635nm	 nm	Flag_635	Flag_ 	Flag_635	Flag_ 	Flag_635	Flag_ 
1	1	1	1	hsa-miR-28-3p	MIMAT0004502	33.444716	-	27.833283	-	OK	-	OK	-	OK	-
1	1	2	1	hsa-miR-27a-5p	MIMAT0004501	36.790571	-	26.769988	-	OK	-	OK	-	OK	-
1	1	3	1	hsa-miR-518b	MIMAT0002844	36.373889	-	30.941820	-	OK	-	OK	-	OK	-
1	1	4	1	hsa-miR-520b	MIMAT0002843	38.198413	-	30.487424	-	OK	-	OK	-	OK	-
1	1	5	1	hsa-miR-498	MIMAT0002824	57.848129	-	32.759268	-	OK	-	OK	-	OK	-
1	1	6	1	hsa-miR-512-3p	MIMAT0002823	33.903998	-	23.753894	-	OK	-	OK	-	OK	-
1	1	7	1	hsa-miR-491-5p	MIMAT0002807	52.475387	-	43.617152	-	OK	-	OK	-	OK	-
1	1	8	1	hsa-miR-490-3p	MIMAT0002806	42.546057	-	26.375845	-	OK	-	OK	-	OK	-
1	1	9	1	hsa-miR-452-5p	MIMAT0001635	36.847284	-	22.570368	-	OK	-	OK	-	OK	-
1	1	10	1	hsa-miR-451a	MIMAT0001631	60.397748	-	44.504600	-	OK	-	OK	-	OK	-
1	1	1	2	hsa-miR-1302	MIMAT0005890	33.742636	-	27.290429	-	OK	-	OK	-	OK	-
1	1	2	2	hsa-miR-548l	MIMAT0005889	31.425110	-	33.306107	-	OK	-	OK	-	OK	-
1	1	3	2	hsa-miR-1208	MIMAT0005873	30.650311	-	37.912088	-	OK	-	OK	-	OK	-
1	1	4	2	hsa-miR-1207-3p	MIMAT0005872	35.155813	-	34.380803	-	OK	-	OK	-	OK	-
1	1	5	2	hsa-miR-124-5p	MIMAT0004591	33.985516	-	33.701346	-	OK	-	OK	-	OK	-
1	1	6	2	hsa-miR-122-3p	MIMAT0004590	29.740628	-	34.303899	-	OK	-	OK	-	OK	-
1	1	7	2	"hsa-miR-199a-3p, hsa-miR-199b-3p"	"MIMAT0000232, MIMAT0004563"	33.774429	-	29.678781	-	OK	-	OK	-	OK	-
1	1	8	2	hsa-miR-196a-3p	MIMAT0004562	30.593597	-	35.716746	-	OK	-	OK	-	OK	-
1	1	9	2	hsa-miR-16-2-3p	MIMAT0004518	33.551175	-	40.600362	-	OK	-	OK	-	OK	-
1	1	10	2	hsa-miR-106a-3p	MIMAT0004517	34.052838	-	36.749352	-	OK	-	OK	-	OK	-
1	1	1	3	hsa-miR-4281	MIMAT0016907	505.381247	-	636.287937	-	OK	-	OK	-	OK	-
1	1	2	3	hsa-miR-4271	MIMAT0016901	120.648225	-	122.489805	-	OK	-	OK	-	OK	-
1	1	3	3	hsa-miR-3130-3p	MIMAT0014994	31.261959	-	35.409964	-	OK	-	OK	-	OK	-
1	1	4	3	hsa-miR-4285	MIMAT0016913	37.345580	-	34.136190	-	OK	-	OK	-	OK	-
1	1	5	3	hsa-miR-2277-3p	MIMAT0011777	36.198413	-	33.854737	-	OK	-	OK	-	OK	-
1	1	6	3	hsa-miR-2276-3p	MIMAT0011775	38.517592	-	32.773973	-	OK	-	OK	-	OK	-
1	1	7	3	hsa-miR-1270	MIMAT0005924	29.882500	-	33.624026	-	OK	-	OK	-	OK	-
1	1	8	3	hsa-miR-1269a	MIMAT0005923	35.398673	-	27.486327	-	OK	-	OK	-	OK	-
1	1	9	3	hsa-miR-1255a	MIMAT0005906	31.653952	-	30.835894	-	OK	-	OK	-	OK	-
1	1	10	3	hsa-miR-1254	MIMAT0005905	79.272508	-	76.276622	-	OK	-	OK	-	OK	-
1	1	1	4	hsa-miR-4424	MIMAT0018939	35.687753	-	39.393855	-	OK	-	OK	-	OK	-
1	1	2	4	hsa-miR-4785	MIMAT0019949	36.219692	-	38.062591	-	OK	-	OK	-	OK	-
1	1	3	4	hsa-miR-4680-5p	MIMAT0019764	31.535053	-	30.472982	-	OK	-	OK	-	OK	-
1	1	4	4	hsa-miR-3124-3p	MIMAT0019200	29.765569	-	34.209233	-	OK	-	OK	-	OK	-
1	1	5	4	hsa-miR-4722-3p	MIMAT0019837	40.664820	-	37.822410	-	OK	-	OK	-	OK	-
1	1	6	4	hsa-miR-3140-5p	MIMAT0019204	30.276208	-	38.094933	-	OK	-	OK	-	OK	-
1	1	7	4	hsa-miR-4709-5p	MIMAT0019811	31.435760	-	31.241159	-	OK	-	OK	-	OK	-
1	1	8	4	hsa-miR-3973	MIMAT0019358	32.868543	-	38.063008	-	OK	-	OK	-	OK	-
1	1	9	4	hsa-miR-3186-3p	MIMAT0015068	37.171798	-	34.225342	-	OK	-	OK	-	OK	-
1	1	10	4	hsa-miR-3065-5p	MIMAT0015066	37.858070	-	28.805080	-	OK	-	OK	-	OK	-
1	1	1	5	hsa-miR-4483	MIMAT0019017	70.861005	-	75.023095	-	OK	-	OK	-	OK	-
1	1	2	5	hsa-miR-4525	MIMAT0019064	610.590753	-	483.037810	-	OK	-	OK	-	OK	-
1	1	3	5	S-Probe28	S-Probe28	55404.000000	-	64028.000000	-	OK	-	OK	-	OK	-
1	1	4	5	S-Probe27	S-Probe27	481.888790	-	652.256869	-	OK	-	OK	-	OK	-
1	1	5	5	S-Probe26	S-Probe26	2515.397371	-	3501.896778	-	OK	-	OK	-	OK	-
1	1	6	5	S-Probe25	S-Probe25	33.588439	-	33.699416	-	OK	-	OK	-	OK	-
1	1	7	5	S-Probe24	S-Probe24	399.203849	-	490.573080	-	OK	-	OK	-	OK	-
1	1	8	5	S-Probe23	S-Probe23	29.207035	-	30.196458	-	OK	-	OK	-	OK	-
1	1	9	5	S-Probe22	S-Probe22	109.541392	-	106.148377	-	OK	-	OK	-	OK	-
1	1	10	5	S-Probe21	S-Probe21	395.487750	-	451.470656	-	OK	-	OK	-	OK	-
1	1	1	6	hsa-miR-5194	MIMAT0021125	34.049354	-	32.531305	-	OK	-	OK	-	OK	-
1	1	2	6	hsa-miR-5193	MIMAT0021124	38.264082	-	42.664894	-	OK	-	OK	-	OK	-
1	1	3	6	hsa-miR-5087	MIMAT0021079	35.278080	-	33.787874	-	OK	-	OK	-	OK	-
1	1	4	6	hsa-miR-5011-3p	MIMAT0021046	31.584758	-	37.777417	-	OK	-	OK	-	OK	-
1	1	5	6	hsa-miR-4501	MIMAT0019037	33.473141	-	34.394148	-	OK	-	OK	-	OK	-
